"","site.ID","Q","datetimeAK","fDOM.QSU","SpCond.µS.cm","Turbidity.FNU","nitrateuM","ABS_254","MeanDischarge","DateTime"
"3350","FRCH",1850.28960072087,2020-07-08 21:15:00,114.726619498734,54.4818181818182,75.1972727272727,NA,NA,1850.28960072087,2020-07-08 21:15:00
"3351","FRCH",1790.56179419692,2020-07-08 21:30:00,114.606336414736,54.5363636363636,66.9190909090909,NA,NA,1790.56179419692,2020-07-08 21:30:00
"3352","FRCH",1800.76922595698,2020-07-08 21:45:00,114.591415730041,54.5454545454545,66.9209090909091,NA,NA,1800.76922595698,2020-07-08 21:45:00
"3353","FRCH",1808.00967865647,2020-07-08 22:00:00,113.939026278911,54.5727272727273,72.2027272727273,NA,NA,1808.00967865647,2020-07-08 22:00:00
"3354","FRCH",1629.99279620307,2020-07-08 22:15:00,113.007071912238,54.5818181818182,71.6063636363636,NA,NA,1629.99279620307,2020-07-08 22:15:00
"3355","FRCH",1768.52139136756,2020-07-08 22:30:00,113.072149781887,54.6090909090909,71.71,NA,NA,1768.52139136756,2020-07-08 22:30:00
"3356","FRCH",1742.48039111974,2020-07-08 22:45:00,112.962379205191,54.6272727272727,69.7272727272727,NA,NA,1742.48039111974,2020-07-08 22:45:00
"3357","FRCH",1733.68805745827,2020-07-08 23:00:00,112.295359588086,54.6272727272727,61.4936363636364,NA,NA,1733.68805745827,2020-07-08 23:00:00
"3358","FRCH",1763.59057315307,2020-07-08 23:15:00,112.583280193322,54.6818181818182,68.8145454545455,NA,NA,1763.59057315307,2020-07-08 23:15:00
"3359","FRCH",1690.12020605708,2020-07-08 23:30:00,112.439017428147,54.7,67.6445454545455,NA,NA,1690.12020605708,2020-07-08 23:30:00
"3360","FRCH",1725.65148208277,2020-07-08 23:45:00,112.217260987935,54.7181818181818,64.7554545454545,NA,NA,1725.65148208277,2020-07-08 23:45:00
"3361","FRCH",1702.15654827012,2020-07-09 00:00:00,111.947686407811,54.7727272727273,68.0272727272727,NA,NA,1702.15654827012,2020-07-09 00:00:00
"3362","FRCH",1706.50202940645,2020-07-09 00:15:00,127.018033288714,54.8181818181818,66.2327272727273,23.1679925616912,0.86728,1706.50202940645,2020-07-09 00:15:00
"3363","FRCH",1715.21268252442,2020-07-09 00:30:00,110.362126270381,54.8636363636364,69.0354545454545,NA,NA,1715.21268252442,2020-07-09 00:30:00
"3364","FRCH",1690.36043657859,2020-07-09 00:45:00,125.615950352064,54.9090909090909,65.1872727272727,23.2937264203915,0.86192,1690.36043657859,2020-07-09 00:45:00
"3365","FRCH",1680.2881968744,2020-07-09 01:00:00,124.638942216332,54.9454545454545,75.2881818181818,23.3899914059588,0.85846,1680.2881968744,2020-07-09 01:00:00
"3366","FRCH",1674.07090900207,2020-07-09 01:15:00,124.982058581236,54.9909090909091,66.6072727272727,23.4312478283449,0.85494,1674.07090900207,2020-07-09 01:15:00
"3367","FRCH",1597.27801124042,2020-07-09 01:30:00,124.335207430648,55.0363636363636,74.7354545454545,23.4882209830684,0.8503,1597.27801124042,2020-07-09 01:30:00
"3368","FRCH",1612.88483150203,2020-07-09 01:45:00,109.404980149927,55.0727272727273,68.2054545454545,NA,NA,1612.88483150203,2020-07-09 01:45:00
"3369","FRCH",1615.45583598892,2020-07-09 02:00:00,108.753271027844,55.1090909090909,72.5945454545455,NA,NA,1615.45583598892,2020-07-09 02:00:00
"3370","FRCH",1604.02203990264,2020-07-09 02:15:00,123.121686850826,55.1727272727273,68.4363636363636,23.8379182775786,0.83452,1604.02203990264,2020-07-09 02:15:00
"3371","FRCH",1620.60519864257,2020-07-09 02:30:00,108.333733722624,55.2272727272727,74.7654545454545,NA,NA,1620.60519864257,2020-07-09 02:30:00
"3372","FRCH",1633.2861129002,2020-07-09 02:45:00,122.23458791785,55.2454545454545,66.4045454545455,23.9322186716038,0.82756,1633.2861129002,2020-07-09 02:45:00
"3373","FRCH",1587.54100210014,2020-07-09 03:00:00,121.675075280826,55.3090909090909,71.5018181818182,23.8850684745912,0.8214,1587.54100210014,2020-07-09 03:00:00
"3374","FRCH",1516.32766593056,2020-07-09 03:15:00,121.233693613766,55.3636363636364,68.6445454545455,24.067775488015,0.81702,1516.32766593056,2020-07-09 03:15:00
"3375","FRCH",1569.78263102998,2020-07-09 03:30:00,121.218919275509,55.4090909090909,69.2045454545455,24.1031381357745,0.81246,1569.78263102998,2020-07-09 03:30:00
"3376","FRCH",1573.69297874079,2020-07-09 03:45:00,120.76626295222,55.4636363636364,66.7209090909091,24.1660050651246,0.80476,1573.69297874079,2020-07-09 03:45:00
"3377","FRCH",1440.75060421875,2020-07-09 04:00:00,120.482917771946,55.5272727272727,73.4181818181818,24.2858451491983,0.80006,1440.75060421875,2020-07-09 04:00:00
"3378","FRCH",1529.64309428336,2020-07-09 04:15:00,120.883232533011,55.5636363636364,71.3081818181818,24.3310307546687,0.7918,1529.64309428336,2020-07-09 04:15:00
"3379","FRCH",1536.21381514558,2020-07-09 04:30:00,119.396718177571,55.6363636363636,66.9554545454545,24.3624642193438,0.7876,1536.21381514558,2020-07-09 04:30:00
"3380","FRCH",1531.68046029004,2020-07-09 04:45:00,119.650227546518,55.6727272727273,73.6218181818182,24.446941655658,0.7824,1531.68046029004,2020-07-09 04:45:00
"3381","FRCH",1501.96354721482,2020-07-09 05:00:00,119.219230953128,55.7454545454545,68.2090909090909,24.4430124725736,0.77562,1501.96354721482,2020-07-09 05:00:00
"3382","FRCH",1534.6262192039,2020-07-09 05:15:00,118.813215288358,55.8181818181818,60.27,24.5176669511769,0.77278,1534.6262192039,2020-07-09 05:15:00
"3383","FRCH",1520.38252477598,2020-07-09 05:30:00,NA,55.8636363636364,65.2545454545455,24.5628525566473,0.76836,1520.38252477598,2020-07-09 05:30:00
"3384","FRCH",1459.58896510392,2020-07-09 05:45:00,118.044186218887,55.9181818181818,65.3181818181818,24.7200198800227,0.76424,1459.58896510392,2020-07-09 05:45:00
"3385","FRCH",1505.7709231492,2020-07-09 06:00:00,117.642143193155,55.9636363636364,60.2209090909091,24.7160906969383,0.75972,1505.7709231492,2020-07-09 06:00:00
"3386","FRCH",1421.84564474122,2020-07-09 06:15:00,117.378587434549,56.0363636363636,61.7263636363636,24.7887805839994,0.76,1421.84564474122,2020-07-09 06:15:00
"3387","FRCH",1403.73807388617,2020-07-09 06:30:00,116.234864039129,56.0818181818182,65.9972727272727,24.8791517949402,0.75862,1403.73807388617,2020-07-09 06:30:00
"3388","FRCH",1475.91864527558,2020-07-09 06:45:00,116.124890558722,56.1363636363636,69.29,24.9105852596153,0.75326,1475.91864527558,2020-07-09 06:45:00
